"GenSp","family"
"Bradysia impatiens","Sciaridae"
"Heterocrossa corticella","Carposinidae"
"Nesodynerus deinogaster","Vespidae"
"Nesopeplus confertus","Nitidulidae"
"Blackburnia constricta","Carabidae"
"Udea endopyra","Crambidae"
"Sepsis biflexuosa","Sepsidae"
"Odynerus charadrophilus","Vespidae"
"Merimnetria ichthyochroa","Gelechiidae"
"Empicoris rubromaculatus","Reduviidae"
"Gonioryctus elegans","Nitidulidae"
"Cis insularis","Ciidae"
"Cyrtopeltis kahakai","Miridae"
"Odynerus purpurifer","Vespidae"
"Cyclophora nanaria","Geometridae"
"Neodusmetia sangwani","Encyrtidae"
"Xyletobius sykesii","Anobiidae"
"Thriscothorax platysminus","Carabidae"
"Limonia nigropolita","Tipulidae"
"Sophonia rufofascia","Cicadellidae"
"Enicospilus mauicola","Ichneumonidae"
"Dermestes maculatus","Dermestidae"
"Entomobrya multifasciata","Entomobryidae"
"Lycophotia porphyrea","Noctuidae"
"Phlyctaenia endopyra","Crambidae"
"Agrotis diplosticta","Noctuidae"
"Plagithmysus aestivus","Cerambycidae"
"Mecyclothorax perkinsi","Carabidae"
"Drosophila toxochaeta","Drosophilidae"
"Nesopeplus olindae","Nitidulidae"
"Campsicnemus helvolus","Dolichopodidae"
"Pararrhaptica leopardella","Tortricidae"
"Drosophila diamphidiopoda","Drosophilidae"
"Melanoxanthus melanocephalus","Elateridae"
"Idiomyia perkinsi","Drosophilidae"
"Orsonwelles macbeth","Linyphiidae"
"Nesiomiris usingeri","Miridae"
"Hyposmocoma fervida","Cosmopterigidae"
"Leurocorynus cephalotes","Staphylinidae"
"Hyposmocoma chilonella triocellata","Cosmopterigidae"
"Thelacantha brevispina","Araneidae"
"Metrothorax blackburni","Carabidae"
"Thriscothorax laticollis","Carabidae"
"Megalagrion xanthomelas","Coenagrionidae"
"Eudonia erebochalca","Crambidae"
"Aloha ipomoeae","Delphacidae"
"Polistes olivaceus","Vespidae"
"Geotomus pygmaeus","Cydnidae"
"Adachia williamsi","Dolichopodidae"
"Idiomyia picta","Drosophilidae"
"Spanagonicus albofasciatus","Miridae"
"Nesosteles volcanicola","Cicadellidae"
"Leucania euclidias","Noctuidae"
"Chaetoravinia anandra","Sarcophagidae"
"Pipunculus delomeris","Pipunculidae"
"Sarona antennata","Miridae"
"Lonchoptera furcata","Lonchopteridae"
"Platyura hawaiiensis","Keroplatidae"
"Nesosydne procellaris","Delphacidae"
"Lispocephala perflava","Muscidae"
"Proterhinus convexiusculus","Belidae"
"Phaeogramma vittipennis","Tephritidae"
"Diestota parva","Staphylinidae"
"Drosophila velutinifrons","Drosophilidae"
"Odynerus naiadum","Vespidae"
"Scaptomyza nasalis","Drosophilidae"
"Paratrechina longicornis","Formicidae"
"Paratrigonidium pacificum","Gryllidae"
"Paraliancalus metallicus","Dolichopodidae"
"Encarsia citrinus","Aphelinidae"
"Apterocis rufonotatus","Ciidae"
"Thyrocopa decipiens","Oecophoridae"
"Hyperdasys unicolor","Cosmopterigidae"
"Ceratitis capitata","Tephritidae"
"Blackburnia cheloniceps","Carabidae"
"Culex pipiens quinquefasciatus","Culicidae"
"Philonthus discoideus","Staphylinidae"
"Odynerus montivagus","Vespidae"
"Nesoprosopis volatilis","Colletidae"
"Atelothrus platynoides flavipes","Carabidae"
"Haliophyle niphadopa","Noctuidae"
"Macaria abydata","Geometridae"
"Oceanides gressitti","Lygaeidae"
"Eutochia lateralis","Tenebrionidae"
"Tetranychus neocalidonicus","Tetranychidae"
"Campsicnemus indecorus","Dolichopodidae"
"Eristalinus arvorum","Syrphidae"
"Scoparia rhombias","Crambidae"
"Nesiomiris olapa","Miridae"
"Nesogonia blackburni","Libellulidae"
"Eudonia hawaiiensis","Crambidae"
"Polistes aurifer","Vespidae"
"Procanace acuminata","Canacidae"
"Dettopsomyia nigrovittata","Drosophilidae"
"Scaptomyza villosa","Drosophilidae"
"Thrips hawaiiensis","Thripidae"
"Eupetinus macrothorax","Nitidulidae"
"Megalagrion amaurodytum amaurodytum","Coenagrionidae"
"Epiphyas postvittana","Tortricidae"
"Piophila casei","Piophilidae"
"Araecerus varians","Anthribidae"
"Plautia stali","Pentatomidae"
"Epitrix parvula","Chrysomelidae"
"Trioza ohiacola","Psyllidae"
"Nabis blackburni","Nabidae"
"Dryophthorus squalidus","Curculionidae"
"Argiope appensa","Araneidae"
"Xyleborus molokaiensis","Scolytidae"
"Chelopistes meleagridis","Philopteridae"
"Opsius stactogalus","Cicadellidae"
"Plagithmysus ilicis ilicis","Cerambycidae"
"Campsicnemus chauliopodus","Dolichopodidae"
"Tetragnatha kamakou","Tetragnathidae"
"Mantua fulvosericea","Tortricidae"
"Xenopsylla cheopis","Pulicidae"
"Eucelatoria ""mexico""","Tachinidae"
"Bembidion spurcum","Carabidae"
"Eurynogaster undulata","Dolichopodidae"
"Solierella peckhami","Crabronidae"
"Mestolobes xanthoscia","Crambidae"
"Hyposmocoma subsericea","Cosmopterigidae"
"Entomobrya guthriei","Entomobryidae"
"Mirosternus affinis","Anobiidae"
"Nesodynerus microdemas","Vespidae"
"Neomyia cornicina","Muscidae"
"Nesencyrtus kaalae","Encyrtidae"
"Scaptomyza longipecten","Drosophilidae"
"Strumigenys rogeri","Formicidae"
"Triphleps persequens","Anthocoridae"
"Sephora criniger","Lygaeidae"
"Drosophila bostrycha","Drosophilidae"
"Homoneura unguiculata","Lauxaniidae"
"Heterocrossa ferruginea","Carposinidae"
"Carposina gracillima","Carposinidae"
"Nesodynerus purpurifer","Vespidae"
"Echthromorpha flavoorbitalis","Ichneumonidae"
"Eupetinus marginatus","Nitidulidae"
"Hyposmocoma tenuipalpis","Cosmopterigidae"
"Philodoria marginestrigata","Gracillariidae"
"Carpophilus humeralis","Nitidulidae"
"Salina maculata","Entomobryidae"
"Pachodynerus nasidens","Vespidae"
"Macrancylus linearis","Curculionidae"
"Labia dubronyi","Labiidae"
"Carpophilus maculatus","Nitidulidae"
"Nesomicromus bellulus","Hemerobiidae"
"Dryophthorus insignis","Curculionidae"
"Acritus sculptus","Histeridae"
"Cis cognatissimus","Ciidae"
"Eucoila oreias","Eucoilidae"
"Monopis meliorella","Tineidae"
"Gymnodia arcuata","Muscidae"
"Ptycta distinguenda","Psocidae"
"Enicospilus dispilus","Ichneumonidae"
"Euborellia eteronoma","Carcinophoridae"
"Drosophila fasciculisetae","Drosophilidae"
"Mimosestes nubigens","Bruchidae"
"Asterolecanium pustulans","Asterolecaniidae"
"Odynerus cephalostictus","Vespidae"
"Haematobia irritans","Muscidae"
"Myrmecopora pumila","Staphylinidae"
"Spirolabia dubronyi","Labiidae"
"Plusia giffardi","Noctuidae"
"Trupanea crassipes","Tephritidae"
"Mecyclothorax molokaiae","Carabidae"
"Anomalochrysa proteus","Chrysopidae"
"Dryophthorus crassus","Curculionidae"
"Echthromorpha fuscator","Ichneumonidae"
"Plusia pterylota","Noctuidae"
"Blackburnia munroi","Carabidae"
"Drosophila laciniosa","Drosophilidae"
"Odynerus monas","Vespidae"
"Saldula oahuensis","Saldidae"
"Sarcophaga albiceps","Sarcophagidae"
"Hyposmocoma notabilis","Cosmopterigidae"
"Thriscothorax molokaiae","Carabidae"
"Neseis nitida consummate","Lygaeidae"
"Aphis middletonii","Aphididae"
"Xylopsocus castanoptera","Bostrichidae"
"Hyposmocoma chilonella","Cosmopterigidae"
"Blackburnia sphodriformis","Carabidae"
"Cephalops uluhe","Pipunculidae"
"Hyposmocoma radiatella","Cosmopterigidae"
"Adelencyrtus odonaspidis","Encyrtidae"
"Pimpla hawaiiensis","Ichneumonidae"
"Carposina new species 09","Carposinidae"
"Thrips australis","Thripidae"
"Micromus bellulus","Hemerobiidae"
"Hyposmocoma pseudolita","Cosmopterigidae"
"Nesobiella hospes","Hemerobiidae"
"Latrodectus geometricus","Theridiidae"
"Lepidosaphes tokionis","Diaspididae"
"Oliarus neomorai","Cixiidae"
"Carposina ferruginea","Carposinidae"
"Megachile diligens","Megachilidae"
"Aeletes subalatus","Histeridae"
"Hypodiranchis bicolor","Eucoilidae"
"Mecaphesa junctus","Thomisidae"
"Lispocephala parilis","Muscidae"
"Eurynogaster maculata","Dolichopodidae"
"Polynema pyrophila","Mymaridae"
"Proterhinus navita","Belidae"
"Drosophila anthrax","Drosophilidae"
"Entomobrya mauka","Entomobryidae"
"Itodacnus collaris","Elateridae"
"Ptycta drepana","Psocidae"
"Enicospilus orbitalis","Ichneumonidae"
"Lispocephala flavobasalis extera","Muscidae"
"Siphanta acuta","Flatidae"
"Anagyrus antoninae","Encyrtidae"
"Scaptomyza aloha","Drosophilidae"
"Platyura fuscocostata","Keroplatidae"
"Proisotoma nigromaculosa","Isotomidae"
"Ectemnius molokaiensis","Crabronidae"
"Blackburnia moerens","Carabidae"
"Aulacaspis rosarum","Diaspididae"
"Pullimosina heteroneura","Sphaeroceridae"
"Encyrtus infelix","Encyrtidae"
"Udea argoscelis","Crambidae"
"Ctenosciara hawaiiensis","Sciaridae"
"Mecyclothorax exilis","Carabidae"
"Atrachycnemis perkinsi","Carabidae"
"Mesograpta marginata","Syrphidae"
"Apetasimus atratus","Nitidulidae"
"Sarcophaga dux","Sarcophagidae"
"Enicospilus bellator","Ichneumonidae"
"Tenuipalpus pacificus","Tenuipalpidae"
"Orthostolus germanus","Nitidulidae"
"Oxya japonica","Acrididae"
"Haplothrips graminis","Phlaeothripidae"
"Ectemnius nesiotes","Crabronidae"
"Palmicultor palmarum","Pseudococcidae"
"Isotoma sensibilis","Isotomidae"
"Ploiariodes rubromaculatus","Reduviidae"
"Proterhinus angustior","Belidae"
"Lispocephala nana","Muscidae"
"Nesosydne ipomoeicola","Delphacidae"
"Mestolobes mesacma","Crambidae"
"Acalles frater","Curculionidae"
"Nesodynerus monas","Vespidae"
"Ormiscus rectus","Anthribidae"
"Aristotelia ichthyochroa","Gelechiidae"
"Megacerus leucospilus","Bruchidae"
"Cacoxenus perspicax","Drosophilidae"
"Xanthogramma grandicorne","Syrphidae"
"Ananca bicolor","Oedemeridae"
"Dalotia coriaria","Staphylinidae"
"Dioxyna sororcula","Tephritidae"
"Dicranomyia hawaiiensis","Tipulidae"
"Pyroderces rileyi","Cosmopterigidae"
"Cirphis unipuncta","Noctuidae"
"Euxesta annonae","Otitidae"
"Distoleon perjurus","Myrmeleontidae"
"Onthophagus sagittarius","Scarabaeidae"
"Lispocephala vahda","Muscidae"
"Hyposmocoma scolopax","Cosmopterigidae"
"Plagiomerus hospes","Encyrtidae"
"Archips postvittana","Tortricidae"
"Hyposmocoma pluviella","Cosmopterigidae"
"Thyrocopa gigas","Oecophoridae"
"Hyposmocoma picticornis","Cosmopterigidae"
"Amauromyza maculosa","Agromyzidae"
"Pauahiana swezeyi","Eulophidae"
"Anomalochrysa angulicosta","Chrysopidae"
"Conocephalus saltator","Tettigoniidae"
"Omiodes monogona","Crambidae"
"Desmometopa tarsalis","Milichiidae"
"Disenochus longipes","Carabidae"
"Canaceoides hawaiiensis","Canacidae"
"Sarcophaga africa","Sarcophagidae"
"Draeculacephala minerva","Cicadellidae"
"Hyposmocoma costimaculata","Cosmopterigidae"
"Nabis capsiformis","Nabidae"
"Anisolabis eteronoma","Carcinophoridae"
"Anstenoptilia marmorodactyla","Pterophoridae"
"Entomobrya socia","Entomobryidae"
"Platyptilia fuscicornis","Pterophoridae"
"Coccophagus ceroplastae","Aphelinidae"
"Azya orbigera","Coccinellidae"
"Scoparia miantis","Crambidae"
"Hanseniella unguiculata","Scutigerellidae"
"Cryptophlebia illepida fulva","Olethreutidae"
"Mesothriscus abax","Carabidae"
"Proprioseiopsis ovatus","Phytoseiidae"
"Nesophrosyne procellaris","Cicadellidae"
"Scaptomyza semiflava","Drosophilidae"
"Scaptomyza mimula","Drosophilidae"
"Nesiomiris spatulatus","Miridae"
"Eudonia venosa","Crambidae"
"Hyposmocoma suffusella","Cosmopterigidae"
"Oliarus euphorbiae","Cixiidae"
"Mecyclothorax amaroides","Carabidae"
"Rhinia apicalis","Calliphoridae"
"Bactra straminea","Tortricidae"
"Chloriona kolophon","Delphacidae"
"Pieris rapae","Pieridae"
"Nesodiranchis bryani","Eucoilidae"
"Clogmia albipunctata","Psychodidae"
"Elimaea punctifera","Tettigoniidae"
"Chrysopa comanche","Chrysopidae"
"Spheterista infaustana","Tortricidae"
"Mimosestes amicus","Bruchidae"
"Campsicnemus calcaratus","Dolichopodidae"
"Angitia blackburni","Ichneumonidae"
"Liophaena centralis","Staphylinidae"
"Proterhinus hystrix","Oxycorynidae"
"Sigmatineurum chalybeum","Dolichopodidae"
"Nesosydne palustris","Delphacidae"
"Colpocaccus lanaiensis","Carabidae"
"Coproica ferruginata","Sphaeroceridae"
"Scoparia platyscia","Crambidae"
"Leptynoptera sulfurea","Psyllidae"
"Dolichopus exsul","Dolichopodidae"
"Hyposmocoma argentea","Cosmopterigidae"
"Scaptomyza nasalis","Drosophilidae"
"Hypergonatopus molokaiensis","Encyrtidae"
"Mestolobes pyropa","Crambidae"
"Hyposmocoma vermiculata","Cosmopterigidae"
"Orthotylus diospyricola","Miridae"
"Mecyclothorax platysminus","Carabidae"
"Omphisa anastomosalis","Crambidae"
"Prosopeus olindae","Nitidulidae"
"Sarona azophila","Miridae"
"Nesomimesa nitida","Crabronidae"
"Ganaspis ovata","Eucoilidae"
"Mestolobes scleropis","Crambidae"
"Elmoia multispinosa","Dolichopodidae"
"Agrion molokaiense","Coenagrionidae"
"Lispocephala longipes","Muscidae"
"Hypurus bertrandi","Curculionidae"
"Oodemas paludicola","Curculionidae"
"Parasarcophaga albiceps","Sarcophagidae"
"Plagithmysus indecens kainaluensis","Cerambycidae"
"Metromenus moerens","Carabidae"
"Blackburnia brevipes","Carabidae"
"Neotermes connexus","Kalotermitidae"
"Engytatus hawaiiensis","Miridae"
"Liriomyza trifolii","Agromyzidae"
"Notiphila insularis","Ephydridae"
"Eupithecia staurophragma","Geometridae"
"Agasthenes swezeyi","Ichneumonidae"
"Toxoptera aurantii","Aphididae"
"Proterhinus moribundus","Belidae"
"Drosophila brevissima","Drosophilidae"
"Odynerus instabilis","Vespidae"
"Orthellia caesarion","Muscidae"
"Eudonia miantis","Crambidae"
"Cephalops alienus","Pipunculidae"
"Dactylosternum subquadratum","Hydrophilidae"
"Eurynogaster multispinosa","Dolichopodidae"
"Enicospilus molokaiensis","Ichneumonidae"
"Physiphora clausa","Otitidae"
"Lyctus brunneus","Lyctidae"
"Oechalia swezeyi","Pentatomidae"
"Eriopygodes euclidias","Noctuidae"
"Allograpta obliqua","Syrphidae"
"Drosophila venusta","Drosophilidae"
"Blackburnia hakeakapa","Carabidae"
"Ceropsilopa coquilletti","Ephydridae"
"Conoderus exsul","Elateridae"
"Micromus subochraceus","Hemerobiidae"
"Hyposmocoma punctiplicata","Cosmopterigidae"
"Nesopeplus ater","Nitidulidae"
"Eudonia marmarias","Crambidae"
"Platystethus americanus","Staphylinidae"
"Omiodes accepta","Crambidae"
"Distoleon wilsoni","Myrmeleontidae"
"Odynerus camelinus","Vespidae"
"Musca sorbens","Muscidae"
"Aeletes similis","Histeridae"
"Drosophila prodita","Drosophilidae"
"Scatella sexnotata","Ephydridae"
"Eurynogaster tanyceraea","Dolichopodidae"
"Scutigerella sakimurai","Scutigerellidae"
"Allaphorura encarpatus","Onychiuridae"
"Eupelmus flavipes","Eupelmidae"
"Euchromius ocelleus","Crambidae"
"Metromenus latifrons","Carabidae"
"Erionota thrax","Hesperiidae"
"Lispocephala longisetosa","Muscidae"
"Hydroptila arctia","Hydroptilidae"
"Lampides boeticus","Lycaenidae"
"Hyposmocoma nemoricola","Cosmopterigidae"
"Simosyrphus grandicornis","Syrphidae"
"Nesodynerus brevicostatus","Vespidae"
"Cirphis macrosaris","Noctuidae"
"Chrysomya rufifacies","Calliphoridae"
"Oliarus similis molokaiana","Cixiidae"
"Sympiesis sparsus","Eulophidae"
"Euodynerus nigripennis","Vespidae"
"Agrion blackburni","Coenagrionidae"
"Allothrips brasilianus","Phlaeothripidae"
"Emperoptera bryophila","Dolichopodidae"
"Nesodynerus monobius","Vespidae"
"Colpodiscus lucipetens","Carabidae"
"Leialoha mauiensis","Delphacidae"
"Omiodes demaratalis","Crambidae"
"Culex quinquefasciatus","Culicidae"
"Atractomorpha sinensis","Pyrgomorphidae"
"Odynerus microdemas","Vespidae"
"Ptycta stena","Psocidae"
"Microterys flavus","Encyrtidae"
"Hyposoter exiguae","Ichneumonidae"
"Hyposmocoma fulvida","Cosmopterigidae"
"Nesocrabro daemonius","Crabronidae"
"Pseudaulacaspis cockerelli","Diaspididae"
"Tullbergia yosiii","Onychiuridae"
"Ptycta peleae","Psocidae"
"Nesoclimacias lanaiensis","Lygaeidae"
"Pararrhaptica perkinsana","Tortricidae"
"Odynerus ecostatus","Vespidae"
"Drosophila mandibulata","Drosophilidae"
"Thriscothorax argutor","Carabidae"
"Pseudolynchia canariensis","Hippoboscidae"
"Haliophyle flavistigma","Noctuidae"
"Hypothenemus javanus","Scolytidae"
"Scoparia zophochlora","Crambidae"
"Nesosydne blackburni","Delphacidae"
"Empicoris whitei","Reduviidae"
"Prosoplus bankii","Cerambycidae"
"Parandra puncticeps","Cerambycidae"
"Blackburnia vagans","Carabidae"
"Hyposmocoma intermixta","Cosmopterigidae"
"Cinara atlantica","Aphididae"
"Genophantis iodora","Pyralidae"
"Oodemas aenescens","Curculionidae"
"Hyposmocoma quadristriata","Cosmopterigidae"
"Incisitermes immigrans","Kalotermitidae"
"Drosophila grimshawi","Drosophilidae"
"Hoplothrips dubius","Phlaeothripidae"
"Neosorius rufipes","Staphylinidae"
"Mecyclothorax occultus","Carabidae"
"Epitrix hirtipennis","Chrysomelidae"
"Pyrausta constricta","Crambidae"
"Ornithoctona hulahula","Hippoboscidae"
"Nesodynerus eupteryx","Vespidae"
"Frankliniella invasor","Thripidae"
"Nesocrabro adspectans","Crabronidae"
"Schrankia altivolans","Noctuidae"
"Mesovelia mulsanti","Mesoveliidae"
"Dryophthorus declivis","Curculionidae"
"Cephalops juvator melanopodis","Pipunculidae"
"Drosophila araiotrichia","Drosophilidae"
"Atelothrus constrictus","Carabidae"
"Hydrellia williamsi","Ephydridae"
"Choropleca terpsichorella","Tineidae"
"Scaptomyza buccata","Drosophilidae"
"Nabis tarai","Nabidae"
"Mecistocephalus spissus","Mecistocephalidae"
"Solenopsis papuana","Formicidae"
"Leptocera abdominiseta","Sphaeroceridae"
"Philodoria neraudicola","Gracillariidae"
"Tamsica hydrophila","Crambidae"
"Cephalochrysa hovas","Stratiomyidae"
"Blackburnia molokaiensis","Carabidae"
"Nysius terrestris","Lygaeidae"
"Melanozosteria soror","Blattidae"
"Eudonia dactyliopa","Crambidae"
"Lycoriella hoyti","Sciaridae"
"Balta notulata","Blattellidae"
"Spolas molokaiensis","Ichneumonidae"
"Spodoptera exempta","Noctuidae"
"Philonthus scybalarius","Staphylinidae"
"Limonia perkinsi","Tipulidae"
"Drosophila brunneisetae","Drosophilidae"
"Scaptomyza diaphorocerca","Drosophilidae"
"Micromus angularis","Hemerobiidae"
"Peridroma albiorbis","Noctuidae"
"Helicoverpa confusa","Noctuidae"
"Lynchia nigra","Hippoboscidae"
"Drosophila hirtitarsus","Drosophilidae"
"Heterocrossa trigononotata","Carposinidae"
"Nesodynerus smithii","Vespidae"
"Mecaphesa nigrofrenatus","Thomisidae"
"Technomyrmex albipes","Formicidae"
"Mecaphesa velatus","Thomisidae"
"Thyrocopa subahenea","Oecophoridae"
"Dialeurodes citrifolii","Aleyrodidae"
"Isotoma ahiehie","Isotomidae"
"Campsicnemus bryophilus","Dolichopodidae"
"Nysius montivagus","Lygaeidae"
"Odynerus konanus","Vespidae"
"Lispocephala ingens","Muscidae"
"Carposina punctulata","Carposinidae"
"Callopistria maillardi","Noctuidae"
"Chlorococcus straussiae","Pseudococcidae"
"Drosophila sulfurigaster bilimbata","Drosophilidae"
"Gonioryctus calvus","Nitidulidae"
"Megachile gentilis","Megachilidae"
"Scatella hawaiiensis","Ephydridae"
"Mecyclothorax debilis","Carabidae"
"Hoplothrips flavitibia","Phlaeothripidae"
"Xyletobius gossypii","Anobiidae"
"Heterocrossa gracillima","Carposinidae"
"Caryedon serratus","Bruchidae"
"Nesodynerus frater","Vespidae"
"Udea calliastra synastra","Crambidae"
"Odynerus frater","Vespidae"
"Hyposmocoma unicolor","Cosmopterigidae"
"Liriomyza sativae","Agromyzidae"
"Megaselia curtineura","Phoridae"
"Chilocoris pusillus","Cydnidae"
"Hawaiioscia parvituberculata","Philosciidae"
"Agrotis ypsilon","Noctuidae"
"Disorygma pacifica","Eucoilidae"
"Neseis mauiensis","Lygaeidae"
"Saissetia oleae","Coccidae"
"Mecyclothorax lahainae","Carabidae"
"Trigonidium hamumu","Gryllidae"
"Nesodynerus aprepes","Vespidae"
"Polistes aurifer","Vespidae"
"Nesodynerus erythrostactes","Vespidae"
"Trechus obtusus","Carabidae"
"Blackburnia lucipetens","Carabidae"
"Megopis reflexa","Cerambycidae"
"Nesiomiris mauiensis","Miridae"
"Megaselia setaria","Phoridae"
"Swezeyana reticulata","Psyllidae"
"Dromaeolus mauiensis","Eucnemidae"
"Schrankia altivolans","Noctuidae"
"Drosophila torula","Drosophilidae"
"Drosophila paenehamifera","Drosophilidae"
"Pipunculus vulcanus","Pipunculidae"
"Drosophila incongruens","Drosophilidae"
"Ectopsocus richardsi","Ectopsocidae"
"Caccodes oceaniae","Cantharidae"
"Orsonwelles falstaffius","Linyphiidae"
"Trigonidium atroferrugineum","Gryllidae"
"Neoscatella hawaiiensis","Ephydridae"
"Nesopeplus olindae","Nitidulidae"
"Heterocrossa atronotata","Carposinidae"
"Chrysobothris indica","Buprestidae"
"Oxydema fusiforme","Curculionidae"
"Disenochus anomalus","Carabidae"
"Coniocompsa zimmermani","Coniopterygidae"
"Cinara atlantica","Aphididae"
"Cephalops titanus","Pipunculidae"
"Balta similis","Blattellidae"
"Drosophila amydrospilota","Drosophilidae"
"Typhlodromus occidentalis","Phytoseiidae"
"Neoscatella amnica","Ephydridae"
"Limonia kauaiensis","Tipulidae"
"Nesoprosopis volatilis","Colletidae"
"Oceanides montivagus","Lygaeidae"
"Scaptomyza setosiloba","Drosophilidae"
"Entomobrya atrocincta","Entomobryidae"
"Pipunculus trichostylis","Pipunculidae"
"Brevipalpus phoenicis","Tenuipalpidae"
"Stelidota geminata","Nitidulidae"
"Heterocrossa trigononotata","Carposinidae"
"Mecyclothorax pusillus","Carabidae"
"Drosophila variegata","Drosophilidae"
"Glyptonysius amicola","Lygaeidae"
"Horogenes blackburni","Ichneumonidae"
"Procanace constricta","Canacidae"
"Euseius ovalis","Phytoseiidae"
"Agrion deceptor","Coenagrionidae"
"Cyrtopeltis perplexa","Miridae"
"Deinomimesa haleakalae","Crabronidae"
"Peridroma chersotoides","Noctuidae"
"Nysius insulivagus","Lygaeidae"
"Oliarus halehaku","Cixiidae"
"Smeringopus elongatus","Pholcidae"
"Chrysomphalus aonidum","Diaspididae"
"Tetragnatha stelarobusta","Tetragnathidae"
"Kauaiina montgomeryi","Geometridae"
"Cydia walsinghamii","Olethreutidae"
"Agrion nigrohamatum","Coenagrionidae"
"Xyleborus dubiosus","Scolytidae"
"Havaika senicula","Salticidae"
"Platystethus americanus","Staphylinidae"
"Mecyclothorax insolitus","Carabidae"
"Blackburnia anomala","Carabidae"
"Neanura ili","Hypogastruridae"
"Hypoponera opaciceps","Formicidae"
"Trachyopella nuda","Sphaeroceridae"
"Proisotoma nigromaculosa","Isotomidae"
"Campsicnemus haleakalaae","Dolichopodidae"
"Hemiberlesia rapax","Diaspididae"
"Apulvillus femoralis","Ephydridae"
"Cephalops obstipus","Pipunculidae"
"Plagithmysus sylvai","Cerambycidae"
"Drosophila orthoptera","Drosophilidae"
"Tarsonemus unguis","Tarsonemidae"
"Nesiomiris secularis","Miridae"
"Scymnus vividus (poss jr syn)","Coccinellidae"
"Hostis guamensis","Ephydridae"
"Hyssia niphadopa","Noctuidae"
"Phereoeca allutella","Tineidae"
"Holcobius simulans","Anobiidae"
"Epiphyas postvittana","Tortricidae"
"Drosophila perkinsi","Drosophilidae"
"Blackburnia agonoides","Carabidae"
"Oliarus euphorbiae","Cixiidae"
"Nysius kinbergi","Lygaeidae"
"Tetragnatha kamakou","Tetragnathidae"
"Lispocephala chaetoloma","Muscidae"
"Acrolepia beardsleyi","Acrolepiidae"
"Scolopendrellopsis subnuda","Scolopendrellidae"
"Bembidion advena","Carabidae"
"Thyrocopa megas","Oecophoridae"
"Macroglossum pyrrhostictum","Sphingidae"
"Plagithmysus medeirosi","Cerambycidae"
"Drosophila waikamoi","Drosophilidae"
"Euborellia annulipes","Carcinophoridae"
"Iolania mauiensis","Cixiidae"
"Ethirothrips brevis","Phlaeothripidae"
"Entomobrya mauna","Entomobryidae"
"Cirphis amblycasis","Noctuidae"
"Kilauella psylloides","Elipsocidae"
"Balclutha kilaueae","Cicadellidae"
"Lispocephala confluens","Muscidae"
"Aphidius obscuripes","Aphidiidae"
"Drosophila sodomae","Drosophilidae"
"Lestodiplosis obtusilobata","Cecidomyiidae"
"Xyleborus molokaiensis","Scolytidae"
"Hylaeus nivicola","Colletidae"
"Neseis mauiensis pallidipennis","Lygaeidae"
"Oligonychus mangiferus","Tetranychidae"
"Psychoda wirthi","Psychodidae"
"Hylocrabro tumidoventris","Crabronidae"
"Drosophila macrochaetae","Drosophilidae"
"Diachus auratus","Chrysomelidae"
"Acalles angusticollis","Curculionidae"
"Plagithmysus pennatus","Cerambycidae"
"Nesophrosyne perkinsi","Cicadellidae"
"Gryllotalpa africana","Gryllotalpidae"
"Nesosydne acuta","Delphacidae"
"Hyposmocoma obscura","Cosmopterigidae"
"Hypodemta bovis","Oestridae"
"Oligota glabra","Staphylinidae"
"Lispocephala mauiensis","Muscidae"
"Agrotis selenias","Noctuidae"
"Scotorythra idolias","Geometridae"
"Hylaeus fuscipennis","Colletidae"
"Mecyclothorax apicalis","Carabidae"
"Atelothrus limbatus concolor","Carabidae"
"Oodemas tardum","Curculionidae"
"Holcobius major","Anobiidae"
"Sitophilus linearis","Curculionidae"
"Peridroma selenias","Noctuidae"
"Drosophila echinostoma","Drosophilidae"
"Cryphalus sylvicola","Scolytidae"
"Lispe argenteifacies","Muscidae"
"Mecyclothorax chalcosus","Carabidae"
"Dryophthorus homoeorhynchus","Curculionidae"
"Physopleurella mundula","Anthocoridae"
"Pararrhaptica punctiferana","Tortricidae"
"Hyposmocoma progressa","Cosmopterigidae"
"Neseis hiloensis approximatus","Lygaeidae"
"Proterhinus hystrix","Oxycorynidae"
"Eupithecia stypheliae","Geometridae"
"Diplonevra peregrina","Phoridae"
"Antonina graminis","Pseudococcidae"
"Lycophotia saucia","Noctuidae"
"Diplazon laetatorius","Ichneumonidae"
"Gonioryctus suavis","Nitidulidae"
"Xyletobius kirkaldyi","Anobiidae"
"Pipunculus juvator melanopodis","Pipunculidae"
"Opacifrons aequalis","Sphaeroceridae"
"Ascalapha odorata","Noctuidae"
"Amorbia emigratella","Tortricidae"
"Lonchoptera furcata","Lonchopteridae"
"Psychoda quadrifilis","Psychodidae"
"Folsomides parvulus","Isotomidae"
"Pseudopsectra lobipennis","Hemerobiidae"
"Apetasimus conditus","Nitidulidae"
"Scaptomyza intricata","Drosophilidae"
"Mauia satelles","Anthribidae"
"Mecaphesa anguliventris","Thomisidae"
"Batrachedra bedelliella","Batrachedridae"
"Latrodectus hesperus","Theridiidae"
"Folsomia candida","Isotomidae"
"Mesothriscus vagans","Carabidae"
"Lasiochilus denigratus","Anthocoridae"
"Odynerus konanus","Vespidae"
"Orthotylus kassandropsis","Miridae"
"Lepidocyrtus kuakea","Entomobryidae"
